식품인증업소 관리 일련번호,업소번호,업소 명,자치구 코드,자치구 명,업종 코드,업종 명,업태 코드,업태 명,업주 명,식품인증구분,식품인증 구분명,인증일자,사용여부,지도표시여부,식품인증업소 등급,지도 Y좌표,지도 X좌표,전화번호,도로명상세주소,도로명주소코드,도로명주소,허가번호,최초작성일자,최종수정일자,업소인증메뉴,교부번호,인증여부
18512,,코스모스 상점,3030000,성동구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5415634,127.053431,0507-1402-7878,,,"서울특별시 성동구 서울특별시 성동구 성수이로7길 27, 서울숲코오롱디지탈타워 1층",0,00:00.0,00:00.0,,,Y
18519,,앞으로의빵집,3000000,종로구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.574693,126.989349,,,,서울특별시 종로구 서울특별시 종로구 삼일대로32가길 29-1 ,0,00:00.0,00:00.0,,,Y
18584,,애쉬빌 베이커리 휴게음식점,3000000,종로구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5790271,126.984678,070-8839-9999,,,서울특별시 종로구 서울 종로구 북촌로5길 5-5 유니온빌딩 지하1층,0,00:00.0,00:00.0,,,Y
18509,,마루 자연식 김밥,3000000,종로구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.573,126.984864,0507-1324-2565,,,서울특별시 종로구 서울특별시 종로구 인사동길 35-4 105호 ,0,00:00.0,00:00.0,,,Y
18514,,한과채,3000000,종로구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5743438,126.985715,02-720-2802,,,서울특별시 종로구 서울특별시 종로구 인사동10길 13 ,0,00:00.0,00:00.0,,,Y
18517,,소이로움,3000000,종로구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5796836,126.968599,02-586-8088,,,서울특별시 종로구 서울특별시 종로구 필운대로 41 ,0,00:00.0,00:00.0,,,Y
18521,,마지,3000000,종로구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5776283,126.970809,0507-1418-5228,,,서울특별시 종로구 서울특별시 종로구 자하문로5길 19 ,0,00:00.0,00:00.0,,,Y
18522,,오세계향,3000000,종로구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.574684,126.985259,02-735-7171,,,서울특별시 종로구 서울특별시 종로구 인사동12길 14-5 ,0,00:00.0,00:00.0,,,Y
18523,,큔,3000000,종로구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5846976,126.972269,0507-1366-0591,,,"서울특별시 종로구 서울특별시 종로구 자하문로26길 17-2, 1층 ",0,00:00.0,00:00.0,,,Y
18524,,산촌,3000000,종로구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.573797,126.98626,02-735-0312,,,서울특별시 종로구 서울특별시 종로구 인사동길 30-13 ,0,00:00.0,00:00.0,,,Y
